CityTown,Location,County,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,TearGas
Bristol,YWCA to Bristol Chamber of Commerce,,TN,US,2020-10-10,roughly 40 protesters,40,,40,,,New Panther Initiative,"against racism, against police violence",1,march,,,,,1,1,https://heraldcourier.com/news/protesters-march-peacefully-against-police-violence/article_20741f1c-ae34-50f4-9401-a3e1511f001c.html,,,Blue Lives Do Not Exist: A Protest on Police Brutality,
Buffalo,Jefferson Ave,,NY,US,2020-10-10,,,,,,,Stop the Violence Coalition,"for Black Lives Matter, against Black on Black violence, for justice for Rayshionna Johnson",1,march,,,,,1,1,https://www.wkbw.com/news/local-news/anti-violence-groups-march-against-black-on-black-violence,,,,
Canfield,Canfield Green,,OH,US,2020-10-10,,,,,,,Back the Blue Ohio,for police,0,rally,,,,,1,1,https://www.wfmj.com/story/42749024/back-the-blue-rally-shows-support-for-law-enforcement-canfield-oh,,,,
Culpeper,Yowell Meadow Park,,VA,US,2020-10-10,an estimated 80 people,80,,80,,,Culpeper Republican Committee,for President Trump,2,rally,,,,,1,1,https://starexponent.com/news/latinos-for-trump-rally-saturday-in-culpeper/article_4ce18e58-2b2a-5a01-a1a7-a04393a102a3.html,https://starexponent.com/news/local-latinos-rally-for-trump-at-culpeper-event/article_e1b42aca-e95b-5c39-8a69-6f8e12d884f8.html,,Latinos for Trump Rally,
Decatur,,,IL,US,2020-10-10,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://herald-review.com/news/local/govt-and-politics/watch-now-supporters-for-president-trump-gop-candidates-rally-in-decatur/article_d6c97980-e765-5a7e-b19e-61343a5a4c07.html,,,,
Delaware,Liberty Park,,OH,US,2020-10-10,hundreds of law enforcement officials and citizens,200,,200,,,Delaware County Republican Party,for police,0,rally,,,,,1,1,https://www.delgazette.com/news/86543/delaware-county-gop-hosts-back-the-blue-rally,,,,
Denver,Civic Center Park,,CO,US,2020-10-10,,,,,,,general protesters,"against Black Lives Matter, against communism, against antifa, for patriotism",2,rally,,1,,,1,1,https://www.westword.com/news/dueling-demonstrations-at-civic-center-park-end-with-one-protester-killed-11822316,https://www.nytimes.com/2020/10/10/us/Denver-shooting-protest.html,https://www.denverpost.com/2020/10/10/denver-protests-saturday-civic-center-park/,One man fatally shot by private security guard hired by local TV station to protect its crew. No antifa involvement in shooting.,
Denver,Civic Center Park,,CO,US,2020-10-10,,,,,,,Denver Communists,"against fascism, against racism, against police violence",1,counter-protest,,,,,0,1,https://www.westword.com/news/dueling-demonstrations-at-civic-center-park-end-with-one-protester-killed-11822316,https://www.nytimes.com/2020/10/10/us/Denver-shooting-protest.html,https://www.denverpost.com/2020/10/10/denver-protests-saturday-civic-center-park/,One man fatally shot by private security guard hired by local TV station to protect its crew. No antifa involvement in shooting.,
Elk Grove,Camellia Village,,PA,US,2020-10-10,dozens of protesters,24,,24,,,Black Lives Matter Sacramento,"against racism, against police violence, for firing police officer accused of harassing Black teen",1,protest,,,,,1,1,https://www.abc10.com/article/news/local/elk-grove/protesters-gather-outside-of-the-home-of-a-police-officer-involved-in-alleged-harassment-of-a-black-teenager/103-aef09be1-b5a3-4f08-9cc1-46d2d33db9f3,,,,
Elyria,6355 Midway Mall,,OH,US,2020-10-10,,,,,,,general protesters,for President Trump,2,car caravan,,,,,1,1,https://chroniclet.com/news/237655/stay-right-trump-train-road-rally-event-this-saturday-through-elyria/,,,Trump Train Road Rally,
Erie,Perry Square,,PA,US,2020-10-10,,,,,,,Armenian Americans,against Azerbaijani aggression in Nagorny Karabakh,0,protest,,,,,1,1,https://www.yourerie.com/news/local-news/group-of-erie-residents-with-armenian-backgrounds-came-together-for-a-demonstration-for-peace-in-perry-square/,https://www.yourerie.com/news/local-news/in-case-you-missed-it-erie-residents-with-armenian-backgrounds-hold-demonstration-for-peace-in-perry-square/,,,
Fayetteville,,,NC,US,2020-10-10,a crowd of about 50 people,50,,50,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.cbs17.com/news/local-news/cumberland-county-news/donald-trump-jr-speaks-to-cbs-17-after-rally-in-fayetteville/,,,"Feat. Donald Trump, Jr.",
Glendale,Armenian Consulate,,CA,US,2020-10-10,at least 200,200,,200,,,general protesters,"against Azerbaijani aggression in Nagorny Karabakh, against Turkey",0,protest,,,,,1,1,https://www.heraldmailmedia.com/news/nation/thousands-protest-outside-las-turkish-consulate-in-solidarity-with-armenia/article_b0c06527-8162-5992-852c-54ad2708e9db.html,,,,
Goshen,Elkhart County Courthouse,,IN,US,2020-10-10,about 100 people,100,,100,,,Elkhart County Republican Party,for President Trump,2,rally,,,,,1,1,https://www.goshennews.com/election/election-2020-trump-supporters-rally-at-goshen-courthouse/article_006b721a-0b1f-11eb-9ca5-83f1418a8a41.html,,,Freedom and Trump Rally,
Greenville,Pitt County Courthouse,,NC,US,2020-10-10,,,,,,,Back the Blue Greenville NC,for police,0,rally; parade,,,,,1,1,https://www.wnct.com/local-news/greenville-prepares-for-back-the-blue-rally-on-saturday/,https://www.wnct.com/local-news/locals-gather-for-back-the-blue-rally-in-grenville/,,,
Grover Beach,Oceano Dunes,,CA,US,2020-10-10,,,,,,,Off-Roaders United,for reopening park for vehicle access and camping during coronavirus pandemic,0,rally,,,,,1,1,https://www.ksby.com/news/local-news/oceano-dunes-advocates-rally-in-response-to-prolonged-closure-of-vehicle-and-camping-access,,,,
Hazelhurst,Weatherly Park,,GA,US,2020-10-10,,,,,,,Jeff Davis County Republican Party,"for President Trump, for Republican candidates for office",2,rally,,,,,1,1,https://www.jdledger.com/2020/10/14/republicans-hold-rally/,,,,
Hobart,Festival Park at Lake George,,IN,US,2020-10-10,count pic,50,,100,,,NWI Solidarity,"against racism, for defunding police, for justice for Breonna Taylor",1,demonstration; march,,,,,1,1,https://www.nwitimes.com/news/local/lake/protesters-seeking-justice-for-breonna-taylor-march-in-hobart/article_f388edbf-1c98-51e9-85a1-cf3ae5e0074c.html,https://www.facebook.com/events/2816839678592356/,,,
Kansas City,KCMO City Hall,,MO,US,2020-10-10,,,,,,,general protesters,"against racism, for defunding police, for firing police Chief Rick Smith",1,occupation,,,,,1,1,https://news.yahoo.com/kansas-city-protests-continue-officer-205000479.html,,,,
Larkspur,Ferry Terminal to San Quentin Prison,,CA,US,2020-10-10,,,,,,,No Justice Under Capitalism; California Prison Focus; KAGE Universal,protest incarceration; seek release of inmates,1,march,,,,,1,1,https://sf.funcheap.com/march-san-quentin-prison-agreement-hostiles/,,,,
Las Vegas,,,NV,US,2020-10-10,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.theblaze.com/news/trump-hater-vegas-road-rally,,,,
Las Vegas,,,NV,US,2020-10-10,,,,,,,general protesters,against President Trump,1,counter-protest,,,,,0,1,https://www.theblaze.com/news/trump-hater-vegas-road-rally,,,,
Louisville,Tyler Park to Jefferson Square,,KY,US,2020-10-10,over 500 protesters,500,,500,,,general protesters,"against racism, against police violence, for justice for Breonna Taylor",1,protest; march,,,,,1,1,https://www.courier-journal.com/picture-gallery/news/local/2020/10/10/marc-murphys-march-justice-brings-out-protesters-downtown/5956801002/,https://www.wave3.com/2020/10/10/hundreds-gather-tyler-park-march-justice/,https://spectrumnews1.com/ky/louisville/news/2020/10/11/march-to-justice-marc-murphy-louisville-protests-ally-allies-protesters-breonna-taylor-black-lives-matter-jefferson-square-park,,
Madison,Wisconsin State Capitol,,WI,US,2020-10-10,,,,,,,general protesters,"against racism, against police violence, for defunding police",1,march,,,,,1,1,https://wxow.com/2020/10/10/marathon-march-takes-group-26-2-miles-around-madison-for-racial-justice/,,,Group marched 26.2 miles.,
Miami,,,FL,US,2020-10-10,thousands,2000,,2000,,,general protesters,"against socialism in the U.S., against communism, for regime change in Venezuela and Cuba and Nicaragua, for President Trump",2,rally,,,,,1,1,https://www.sun-sentinel.com/coronavirus/fl-ne-coronavirus-trump-rally-coconut-creek-20201012-7zkobxhtrzfx5deierpnoe4qcm-story.html,https://www.miamiherald.com/news/local/article246388175.html,,,
Morgantown,Mountaineer Mall to Triple S Harley Davidson,,WV,US,2020-10-10,,,,,,,general protesters,for police,0,rally,,,,,1,1,https://wajr.com/back-the-blue-rally-planned-in-morgantown/,,,,
Mount Vernon,Mount Vernon Square,,WA,US,2020-10-10,about 250 people,250,,250,,,general protesters,for President Trump,2,rally,,,,,1,1,https://mountvernonnews.com/stories/557055590-trump-supporters-rally-on-the-square,,,,
New Orleans,N7 Bistro,,LA,US,2020-10-10,a group of about a dozen,12,,12,,,employees,for more workplace safety protections in restaurant during coronavirus pandemic,0,strike; picket,,,,,1,1,https://nola.eater.com/2020/10/16/21516526/n7-bistro-employees-launch-strike-covid-safety-concerns,,,,
New York,Union Square,,NY,US,2020-10-10,,,,,,,Refuse Fascism NYC; Refuse Fascism,"against President Trump, against fascism",1,protest,,,,,1,1,https://twitter.com/protest_nyc/status/1314961046352941057,,,Trump/Pence out Now,
New York,66th and Columbus,,NY,US,2020-10-10,several hundred people,300,,300,,,general protesters,"against Azerbaijani aggression in Nagorny Karabakh, for aid for Armenia",0,protest,,,,,0,1,https://abc7ny.com/politics/demonstrators-block-nyc-street-call-for-aid-for-armenia/6926478/,,,,
New York,Brooklyn Bridge,,NY,US,2020-10-10,,,,,,,Armenian Americans,against Azerbaijani aggression in Nagorny Karabakh,0,march; roadblock,,,,,0,1,https://newyork.cbslocal.com/2020/10/10/armenian-protest-nyc/,https://www.ny1.com/nyc/all-boroughs/news/2020/10/11/armenian-protesters-stop-traffic-on-brooklyn-bridge,https://www.pix11.com/news/local-news/brooklyn/delays-closures-on-brooklyn-bridge-due-to-armenian-protest,,
New York,Harlem,,NY,US,2020-10-10,,,,,,,Met Council on Housing; New York Communities for Change; Release Aging People in Prison Campaign,"for cancelling rent and extending eviction moratorium during coronavirus pandemic, for paroling elderly people from prison during coronavirus pandemic",0,protest,,,,,0,1,https://twitter.com/protest_nyc/status/1315360742019915780,,,,
North Royalton,Royalton Rd,,OH,US,2020-10-10,"more than 50 North Royalton residents, first responders and their families",50,,50,,,general protesters,against ballot measure that would give mayor authority to fire police chief,0,march,,,,,1,1,https://www.news5cleveland.com/news/local-news/oh-cuyahoga/north-royalton-residents-hold-protest-against-issue-24-involving-first-responders,,,,
Overland Park,Overland Park Plaza,,KS,US,2020-10-10,hundreds,200,,200,,,general protesters,"for President Trump, for police",2,rally,,,,,1,1,https://www.kctv5.com/news/local_news/rally-held-in-overland-park-for-president-trump-and-police/article_adeb0e60-0b6e-11eb-b1dd-13774f7d5988.html,https://www.kctv5.com/news/local_news/presidents-supporters-rally-in-kc-metro/video_dc54d943-b979-5976-b431-7471b758aa9c.html,,,
Pawleys Island,Publix,,SC,US,2020-10-10,a contingent of nearly three dozen,36,,36,,,NAACP of Georgetown,"against racism, for resignation of Pawleys Island Mayor Brian Henry",1,march,,,,,1,1,https://www.wmbfnews.com/2020/10/06/naacp-plans-weekend-march-calling-pawleys-island-mayors-resignation/,https://www.postandcourier.com/georgetown/news/naacp-protests-through-pawleys-island-again-calls-for-mayors-resignation/article_e6856eb6-0b44-11eb-9d1f-133ee326b3f7.html,,,
Peachtree City,Peachtree City Court,,GA,US,2020-10-10,,,,,,,general protesters,for police,0,rally,,,,,1,1,https://thecitizen.com/2020/10/11/residents-rally-along-roadside-to-support-law-enforcement/,,,,
Peoria,James W. Baldwin Festival Park,,IL,US,2020-10-10,,,,,,,general protesters,for voting rights,0,march,,,,,1,1,https://hoiabc.com/2020/10/10/march-to-the-polls-event-encourages-everyone-to-vote/,,,,
Philadelphia,Independence Mall,,PA,US,2020-10-10,,,,,,,Refuse Fascism Philly; Refuse Fascism,"against President Trump, against fascism",1,rally,,,,,1,1,https://www.facebook.com/events/377496803255181/?event_time_id=377496809921847,,,Trump/Pence out Now,
Philadelphia,North Philadelphia,,PA,US,2020-10-10,,,,,,,general protesters,"for transgender people's rights, against racism",1,march,,,,,0,1,https://www.radio.com/kywnewsradio/news/local/philly-trans-community-comes-together-at-trans-march,,,10th Annual Philly Trans March,
Phoenix,1700 W Washington St,,AZ,US,2020-10-10,,,,,,,Great State Alliance,for ambiguous conservative causes,2,rally,,,,,1,1,https://www.facebook.com/events/741589183297408/,,,Red Rally AZ!,
Portland,Congress Square Park,,ME,US,2020-10-10,,,,,,,People First Portland,"for ballot initiative to restrict short-term rentals, for raising minimum wage, for banning facial-recognition technology, for Green New Deal",0,rally,,,,,1,1,https://www.wmtw.com/article/groups-rally-in-favor-of-portland-ballot-initiatives-seeking-short-term-rental-restrictions-and-minimum-wage-hike/34335033,,,,
Portland,,,ME,US,2020-10-10,roughly 300 Black POWER marchers,300,,300,,,Black POWER,"against racism, against police violence",1,march,,,,,0,1,https://bangordailynews.com/2020/10/13/bdn-videos/black-p-o-w-e-r-protesters-march-through-portland/,,,,
Portland,Alberta Park to Portland Police Department North Precinct,,OR,US,2020-10-10,about 75 people,75,,75,,,general protesters,"against racism, against police violence",1,demonstration,26,,,,1,1,https://www.oregonlive.com/portland/2020/10/portland-police-make-sweeping-arrests-after-saturday-night-protest-blocks-street.html,https://www.kgw.com/article/news/local/mass-arrest-at-small-north-portland-protest/283-7c5879a5-af74-4dee-b593-88113022ee3a,https://www.koin.com/news/protests/people-gather-outside-portland-police-north-precinct/,,
Portland,Terry Schrunk Plaza,,OR,US,2020-10-10,,,,,,,general protesters,"for Justice Ginsburg, against filling U.S. Supreme Court vacancy before inauguration",1,rally,,,,,0,1,https://www.kptv.com/news/rally-held-in-downtown-portland-to-honor-the-legacy-of-justice-ruth-bader-ginsburg/article_936982e4-0bee-11eb-bd43-abb2a3f638e1.html,,,,
Richland,John Dam Plaza,,WA,US,2020-10-10,around 40 supporters,40,,40,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.yaktrinews.com/maga-meet-up-rally-in-richland-shows-support-for-president-trump/,,,MAGA Meet-up,
Rochester,Genesee Valley Park,,NY,US,2020-10-10,,,,,,,Rochester for NY Health; Metro Justice,"against racism, for defunding police, for funding healthcare",1,demonstration,,,,,1,1,https://www.facebook.com/events/710697276152557/,,,,
Rockford,,,MI,US,2020-10-10,,,,,,,general protesters,"against racism, against police violence",1,demonstration,,,,,1,1,https://www.facebook.com/events/587631765248828/,,,,
Saint Paul,Summit Ave,,MN,US,2020-10-10,dozens,24,,24,,,general protesters,"against racism, against police violence, for supporting and protecting Black women",1,march,,,,,1,1,https://kstp.com/news/protect-black-women-march-in-st-paul-demands-justice-for-victims-of-police-violence/5890335/,,,,
Salt Lake City,Washington Square Park,,UT,US,2020-10-10,,,,,,,Concerned Citizens of Utah; No More Silent Patriots; Civilized Awakening; Utah County Conservatives,for patriotism,2,march,,,,,1,1,https://www.facebook.com/events/339374364137013/,,,United Patriot March,
San Diego,San Diego County Administration Building,,CA,US,2020-10-10,around 100 fired up parents and athletes,100,,100,,,parents; student athletes,for resuming youth sports competitions during coronavirus pandemic,0,demonstration,,,,,1,1,https://www.nbcsandiego.com/local/san-diego-parents-rally-against-youth-sports-restrictions/2421570/,,,,
San Francisco,Golden Gate Bridge,,CA,US,2020-10-10,"an estimated 3,000 people",3000,,3000,,,Bay Area Armenians,"against Azerbaijani aggression in Nagorny Karabakh, against U.S. military aid to Turkey",0,march,,,,,1,1,https://www.nbcbayarea.com/news/local/san-francisco/demonstrators-march-on-golden-gate-bridge-in-support-of-armenians/2378581/,https://news.yahoo.com/hundreds-march-sf-solidarity-armenians-044847087.html,https://www.sfgate.com/bayarea/article/Thousands-march-across-Golden-Gate-Bridge-over-15636894.php,,
San Francisco,Harry Bridges Plaza,,CA,US,2020-10-10,FB: 72,72,,72,,,Belarus_SF,solidarity with Belarus,0,rally,,,,,0,1,https://www.facebook.com/events/327748592011009,,,,
San Francisco,Civic Center Plaza,,CA,US,2020-10-10,,,,,,,general protestors,anti fascism; anti Trump/Pence,1,protest,,,,,0,1,https://sf.funcheap.com/street-til-fascist-trump-regime-rally/,,,,
San Jose,San Jose State University to Sigma Chi Fraternity,,CA,US,2020-10-10,,,,,,,general protestors,antiracism; seek justice for Gregory Johnson,1,protest,,,,,1,1,https://www.instagram.com/p/CGG8EGeBSyK/,,,,
Sandusky,Schade-Mylander Plaza,,OH,US,2020-10-10,,,,,,,general protesters,"for Justice Ginsburg, for women's rights",1,rally,,,,,1,1,https://sanduskyregister.com/news/281338/sandusky-rally-to-honor-rbg/,,,,
Santa Barbara,Santa Barbara County Courthouse,,CA,US,2020-10-10,count pic,40,,60,,,general protesters,against county's new sex education curriculum,0,protest,,,,,1,1,https://keyt.com/news/education/2020/10/10/parents-protest-sb-unifieds-new-sex-education-curriculum/,,,,
Santa Clarita,Santa Clarita City Hall,,CA,US,2020-10-10,hundreds,200,,200,,,general protesters,against aggression by Azerbaijan and Turkey against Armenia,0,rally,,,,,1,1,https://www.hometownstation.com/santa-clarita-news/community-news/santa-clarita-for-artsakh-demonstration-calls-for-peace-in-armenia-azerbaijan-conflict-349571,,,,
Santa Fe,Santa Fe Plaza,,NM,US,2020-10-10,,,,,,,general protesters,"against racism, against colonialism, for native peoples' rights, for removal of racist monument",1,demonstration,,,,,1,1,https://www.dailylobo.com/article/2020/10/protesters-chain-themselves-to-obelisk-in-opposition-to-lack-of-action-regarding-indigenous-recognition,https://www.sfreporter.com/news/2020/10/11/plaza-obelisk-protest-ends-early/,,,
Seattle,Green Lake Park,,WA,US,2020-10-10,,,,,,,Veterans for Peace Seattle Chapter 92; Refuse Fascism; Refuse Fascism Seattle,"against President Trump, against fascism",1,rally,,,,,1,1,https://www.facebook.com/events/451664835780169/,,,Trump/Pence out Now,
Seattle,Green Lake Park,,WA,US,2020-10-10,about 50 rallygoers,50,,50,,,general protesters,for police,0,rally,,,,,0,1,https://www.kiro7.com/news/local/defend-police-rally-attracts-dozens-black-clad-opponents/CYZYADYAQRFSHPKYYBXQ75E3RI/,https://mynorthwest.com/2225692/rantz-68-photos-seattle-antifa-disrupt-police-rally/?,,,
Seattle,Green Lake Park,,WA,US,2020-10-10,dozens,24,,24,,,general protesters,against police,1,counter-protest,,,,,0,1,https://www.kiro7.com/news/local/defend-police-rally-attracts-dozens-black-clad-opponents/CYZYADYAQRFSHPKYYBXQ75E3RI/,https://mynorthwest.com/2225692/rantz-68-photos-seattle-antifa-disrupt-police-rally/?,,,
Springfield,Springfield to Branson,,MO,US,2020-10-10,,,,,,,general protesters,for President Trump,2,caravan,,,,,1,1,https://www.ky3.com/2020/10/12/springfield-area-rallies-show-support-for-trump-biden-ahead-of-election/,,,,
Springvale,505 Main St,,ME,US,2020-10-10,,,,,,,Black Lives Matter Maine,"against racism, against police violence, for justice for George Floyd",1,protest,,,,,1,1,https://www.newscentermaine.com/article/news/community/black-lives-matter-sanford-springvale-protest-scheduled-for-saturday/97-0d9e7c5e-2603-43ac-b0bb-a5508f32bc0b,https://www.facebook.com/events/333487657731968/,,,
Stamford,Home Depot to Stamford Police Department,,CT,US,2020-10-10,about 25 people,25,,25,,,general protesters,"against racism, against police violence, for justice for Steven Barrier",1,march,,,,,1,1,https://www.stamfordadvocate.com/local/article/About-25-people-march-in-peaceful-Stamford-15636780.php,,,,
Syracuse,Syracuse City Hall,,NY,US,2020-10-10,count video,50,,100,,,Black Men United,for empowerment of Black men,1,rally; march,,,,,1,1,https://www.localsyr.com/news/local-news/saturday-rally-planned-in-downtown-syracuse-to-shift-narrative-surrounding-black-men/,https://www.waer.org/post/march-syracuse-uplift-dignity-purpose-black-men-and-boys-community,https://spectrumlocalnews.com/nys/central-ny/human-interest/2020/10/10/black-men-march-in-suits-for-solidarity-through-syracuse,,
Taos,Taos County Courthouse,,NM,US,2020-10-10,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.taosnews.com/news/politics/republicans-hold-trump-rally-in-taos/article_90e1e1d4-0b2a-11eb-ae51-4b72c0a8506c.html,,,Shouting between rallygoers and counter-protesters.,
Taos,Taos County Courthouse,,NM,US,2020-10-10,,,,,,,general protesters,against President Trump,1,counter-protest,,,,,0,1,https://www.taosnews.com/news/politics/republicans-hold-trump-rally-in-taos/article_90e1e1d4-0b2a-11eb-ae51-4b72c0a8506c.html,,,Shouting between rallygoers and counter-protesters.,
Temecula,Ronald Reagan Sports Park,,CA,US,2020-10-10,"over 1,000 people",1000,,1000,,,general protesters,for President Trump,2,rally,,,,,1,1,https://myvalleynews.com/thousands-show-up-for-trump-rally-at-ronald-reagan-sports-park/,,,,
The Villages,,,FL,US,2020-10-10,,,,,,,general protesters,for President Trump,2,rally,,,,,1,1,https://www.fox35orlando.com/video/859485,,,Feat. Mike Pence,
Toledo,Savage Park,,OH,US,2020-10-10,,,,,,,general protesters,against gun violence,0,rally,,,,,1,1,https://www.toledoblade.com/local/community-events/2020/10/10/photo-gallery-peace-rally-at-savage-park-toledo/stories/20201010131,,,Peace Rally,
Tulsa,Tulsa City Hall,,OK,US,2020-10-10,about 50 demonstrators,50,,50,,,general protesters,"against racism, against police violence, against removal of Black Lives Matter mural",1,rally,2,,,,1,1,https://tulsaworld.com/news/local/gallery-black-lives-matter-demonstration-held-in-protest-of-citys-removal-of-greenwood-street-mural/collection_a8c57a88-0b41-11eb-9976-ab0b87c41024.html,https://ktul.com/news/local/demonstrators-march-in-downtown-tulsa-in-support-of-black-lives-matter,,Protesters painted Black Lives Matter mural on street in front of city hall.,
Tulsa,John Hope Reconciliation Park to Tulsa Police Departmen,,OK,US,2020-10-10,count pic,75,,150,,,general protesters,for police,0,march,,,,,0,1,https://tulsaworld.com/news/local/gallery-tulsans-participate-in-faith-and-blue-prayer-march-in-support-of-law-enforcement/collection_7e8b051e-0b35-11eb-8c2b-f32e21e3faf1.html,,,Faith and Blue March,
Tulsa,,,OK,US,2020-10-10,,,,,,,general protesters,for Black Lives Matter,1,counter-protest,,,,,0,1,https://tulsaworld.com/news/local/gallery-tulsans-participate-in-faith-and-blue-prayer-march-in-support-of-law-enforcement/collection_7e8b051e-0b35-11eb-8c2b-f32e21e3faf1.html,,,Faith and Blue March,
Utica,Addison Miller Park,,NY,US,2020-10-10,,,,,,,Utica Abolitionists,"against racism, for native peoples' rights, for justice for Jessie Lee Rose",1,protest,,,,,1,1,https://www.uticaod.com/story/news/crime/2020/10/10/protests-condemn-death-utica-teen-columbus-statue/5956825002/,,,Protesters put KKK robe on Christopher Columbus statue,
Washington,U.S. Capitol,,DC,US,2020-10-10,,,,,,,Refuse Fascism DC,"against President Trump, against filling vacant Supreme Court seat before inauguration",1,rally,,,,,1,1,https://www.washingtonian.com/2020/10/08/washington-protests-october8/,,,,
Washington,Dupont Circle,,DC,US,2020-10-10,,,,,,,TheyThem Collective,"for transgender persons' rights, against racism, for defunding police, for justice for Roxanne Moore",1,march,,,,,0,1,https://www.washingtonian.com/2020/10/08/washington-protests-october8/,https://twitter.com/ChuckModi1/status/1315092948716052480,,,
Washington,outside Sen. Mitch McConnell's home,,DC,US,2020-10-10,,,,,,,general protesters,against confirmation of Amy Coney Barrett to U.S. Supreme Court,1,protest,,,,,0,1,https://www.wusa9.com/article/news/local/dc/mitch-mcconnell-protest-supreme-court-confirmation-amy-coney-barrett/65-e78b6e55-a24c-4038-89b5-095c20e28b7f,,,,
Washington,White House,,DC,US,2020-10-10,hundreds; several hundred,200,,300,,,Blexit,"for President Trump, for police",2,march; rally,,,,,0,1,https://www.msn.com/en-us/news/politics/trumps-white-house-event-had-hallmarks-of-campaign-rally/ar-BB19TTNF?li=BBnb7Kz,https://www.nytimes.com/2020/10/10/us/politics/trump-white-house-coronavirus.html,https://abcnews.go.com/amp/Politics/candace-owens-blexit-group-pays-attendees-travel-trumps/story?id=73531036&id=73531036&__twitter_impression=true,Feat. Donald Trump,
Wauwatosa,Wauwatosa City Hall,,WI,US,2020-10-10,around 150 protesters,150,,150,,,general protesters,"against racism, against police violence, for justice for Alvin Cole",1,vigil; march,unspecified,,,,1,1,https://www.jsonline.com/story/news/2020/10/10/wauwatosa-protests-police-fire-tear-gas-28-arrested/5952857002/,https://www.fox6now.com/news/demonstrations-held-in-wauwatosa-for-4th-straight-day,,,
Waverly,Pike County Common Pleas Courthouse,,OH,US,2020-10-10,,,,,,,general protesters,"against drug addiction, against mental illness, against sexual abuse, against other life afflictions",0,march,,,,,1,1,https://www.newswatchman.com/community/article_142b026c-fe28-597f-b75b-6b587ab260cb.html,,,March United 2nd Annual,
Waynesville,Smoky Mountain Events Center,,NC,US,2020-10-10,,,,,,,general protesters,for President Trump,2,rally; caravan,,,,,1,1,https://www.themountaineer.com/briefs/trump-supporters-to-rally-saturday/article_fae3a8a0-0a40-11eb-b503-8b640a0926df.html,,,,
Winchester,Old Cowan Road Park to Board of Education Building,,TN,US,2020-10-10,,,,,,,general protesters,"against racism, for changing Confederate name of school mascot",1,march,,,,,1,1,https://www.heraldchronicle.com/news/local/protest-march-to-remove-rebel-name-planned-for-oct-10/article_c5c5b820-0419-11eb-8b25-4f43eb58cb28.html,,,,
Yakima,Gateway Center,,WA,US,2020-10-10,,,,,,,general protesters,"for President Trump, for Loren Culp for governor",2,rally; caravan,,,,,1,1,https://www.yakimaherald.com/news/news_watch/photos-trump-and-culp-rally-convoy/collection_513f1c36-b0e0-58de-985d-220c02d782e9.html,,,,
Ashland,Ashland Town Hall,,MA,US,2020-10-11,,,,,,,general protesters,for President Trump,2,rally; caravan,,,,,1,1,https://framinghamsource.com/index.php/2020/10/09/ashland-natick-support-the-blue-republican-candidates-rolling-rally-sunday/,,,"Support the Blue, Republican Candidates Rally",
Atlanta,,,GA,US,2020-10-11,,,,,,,Refuse Fascism; Refuse Fascism ATL,"against President Trump, against fascism",1,protest,,,,,1,1,https://www.facebook.com/events/2748551672087040/,,,Trump/Pence Out Now--scheduled to recur daily until election,
Bedminster,from Flemington to Bedminster,,NJ,US,2020-10-11,,,,,,,general protesters,for President Trump,2,truck parade,,,,,1,1,https://www.newjerseyhills.com/bernardsville_news/news/trump-truck-parade-to-begin-in-flemington-rally-in-bedminster-today/article_d4ac1b19-b7d0-561c-a8c4-d0df45a2b615.html,,,,
Beverly Hills,Pan Pacific Park in LA to Turkish Consulate in Beverly Hills,,CA,US,2020-10-11,"estimated at 35,000; the crowd had reached 100,000",35000,,100000,,,Armenian Youth Federation; Armenian Assembly of America; ANCA Western Region; ARFD Western United States; Unified Young Armenians,against aggression by Azerbaijan and Turkey against Armenia,0,march,,,,,1,1,https://www.heraldmailmedia.com/news/nation/thousands-protest-outside-las-turkish-consulate-in-solidarity-with-armenia/article_b0c06527-8162-5992-852c-54ad2708e9db.html,https://www.latimes.com/california/story/2020-10-11/armenian-protest-turkish-consulate,https://abc7.com/politics/why-thousands-of-socal-armenians-will-march-through-la-this-weekend-/6874675/,,
Bismarck,Custer Park,,SD,US,2020-10-11,about 65 people,65,,65,,,general protesters,"for native peoples' rights, for renaming Custer Park, for abolishing Columbus Day",1,rally,,,,,1,1,https://bismarcktribune.com/news/local/bismarck/rally-urges-renaming-of-custer-park-in-bismarck/article_6d47eb2b-6db2-5b4e-aa99-d42d09612b8c.html,,,,
Boston,Boston Common,,MA,US,2020-10-11,about 100 housing advocates,100,,100,,,City Life/Vida Urbana; Chinese Progressive Association - CPA Boston,for extending moratorium on evictions and foreclosures during coronavirus pandemic,0,rally,,,,,1,1,https://www.wgbh.org/news/local-news/2020/10/11/housing-advocates-rally-to-support-eviction-moratorium-extension,https://www.wcvb.com/article/boston-rally-against-end-of-eviction-moratorium-october-11-2020/34339720,https://www.nbcboston.com/news/local/boston-rally-planned-to-highlight-possible-wave-of-evictions-%EF%BB%BF/2210179/,,
